Trade No,Entry Date,Exit Date,Duration (Days),Profit %,Win
2,2023-12-05 00:00:00+00:00,2023-12-06 00:00:00+00:00,1,1.2,True
3,2023-12-06 00:00:00+00:00,2023-12-07 00:00:00+00:00,1,-34.18,False
4,2023-12-07 00:00:00+00:00,2023-12-08 00:00:00+00:00,1,-27.93,False
5,2023-12-08 00:00:00+00:00,2023-12-09 00:00:00+00:00,1,14.28,True
6,2023-12-09 00:00:00+00:00,2023-12-10 00:00:00+00:00,1,-13.57,False
7,2023-12-10 00:00:00+00:00,2023-12-11 00:00:00+00:00,1,4.76,True
8,2023-12-11 00:00:00+00:00,2023-12-12 00:00:00+00:00,1,3.75,True
9,2023-12-12 00:00:00+00:00,2023-12-13 00:00:00+00:00,1,-12.6,False
10,2023-12-13 00:00:00+00:00,2023-12-14 00:00:00+00:00,1,-88.61,False
11,2023-12-14 00:00:00+00:00,2023-12-15 00:00:00+00:00,1,3.43,True
12,2023-12-15 00:00:00+00:00,2023-12-16 00:00:00+00:00,1,7.36,True
13,2023-12-16 00:00:00+00:00,2023-12-17 00:00:00+00:00,1,-5.12,False
14,2023-12-17 00:00:00+00:00,2023-12-18 00:00:00+00:00,1,9.0,True
15,2023-12-18 00:00:00+00:00,2023-12-19 00:00:00+00:00,1,8.94,True
16,2024-02-28 00:00:00+00:00,2024-02-29 00:00:00+00:00,1,-17.89,False
17,2024-02-29 00:00:00+00:00,2024-03-01 00:00:00+00:00,1,-13.24,False
18,2024-03-01 00:00:00+00:00,2024-03-02 00:00:00+00:00,1,3.16,True
19,2024-03-02 00:00:00+00:00,2024-03-03 00:00:00+00:00,1,-11.57,False
20,2024-03-03 00:00:00+00:00,2024-03-04 00:00:00+00:00,1,-39.17,False
21,2024-03-04 00:00:00+00:00,2024-03-05 00:00:00+00:00,1,18.62,True
22,2024-03-05 00:00:00+00:00,2024-03-06 00:00:00+00:00,1,2.54,True
23,2024-05-21 00:00:00+00:00,2024-05-22 00:00:00+00:00,1,1.73,True
24,2024-05-23 00:00:00+00:00,2024-05-24 00:00:00+00:00,1,5.82,True
25,2024-05-27 00:00:00+00:00,2024-05-28 00:00:00+00:00,1,-5.11,False
26,2024-05-28 00:00:00+00:00,2024-05-29 00:00:00+00:00,1,11.67,True
27,2024-09-27 00:00:00+00:00,2024-09-28 00:00:00+00:00,1,-3.77,False
28,2024-09-28 00:00:00+00:00,2024-09-29 00:00:00+00:00,1,4.69,True
29,2024-09-30 00:00:00+00:00,2024-10-01 00:00:00+00:00,1,0.02,True
30,2024-10-01 00:00:00+00:00,2024-10-02 00:00:00+00:00,1,7.45,True
