Trade No,Entry Date,Exit Date,Duration (Days),Profit %,Win
1,2023-11-21 00:00:00+00:00,2024-01-02 00:00:00+00:00,42,25.53,True
2,2023-11-27 00:00:00+00:00,2024-01-08 00:00:00+00:00,42,26.08,True
3,2023-12-17 00:00:00+00:00,2024-02-14 00:00:00+00:00,59,25.29,True
4,2023-12-26 00:00:00+00:00,2024-02-26 00:00:00+00:00,62,28.23,True
5,2023-12-28 00:00:00+00:00,2024-02-26 00:00:00+00:00,60,27.9,True
6,2023-12-29 00:00:00+00:00,2024-01-22 00:00:00+00:00,24,-6.16,False
7,2023-12-30 00:00:00+00:00,2024-01-22 00:00:00+00:00,23,-6.28,False
8,2023-12-31 00:00:00+00:00,2024-01-22 00:00:00+00:00,22,-6.53,False
9,2024-01-03 00:00:00+00:00,2024-01-22 00:00:00+00:00,19,-7.8,False
10,2024-01-12 00:00:00+00:00,2024-02-26 00:00:00+00:00,45,27.23,True
11,2024-01-13 00:00:00+00:00,2024-02-26 00:00:00+00:00,44,27.26,True
12,2024-01-14 00:00:00+00:00,2024-01-22 00:00:00+00:00,8,-5.48,False
13,2024-01-15 00:00:00+00:00,2024-01-22 00:00:00+00:00,7,-7.07,False
14,2024-01-16 00:00:00+00:00,2024-01-22 00:00:00+00:00,6,-8.45,False
15,2024-01-17 00:00:00+00:00,2024-01-22 00:00:00+00:00,5,-7.57,False
16,2024-01-18 00:00:00+00:00,2024-01-22 00:00:00+00:00,4,-4.25,False
17,2024-01-19 00:00:00+00:00,2024-01-22 00:00:00+00:00,3,-5.07,False
18,2024-01-20 00:00:00+00:00,2024-01-22 00:00:00+00:00,2,-5.18,False
19,2024-01-21 00:00:00+00:00,2024-01-22 00:00:00+00:00,1,-4.91,False
20,2024-01-22 00:00:00+00:00,2024-02-12 00:00:00+00:00,21,26.45,True
21,2024-01-23 00:00:00+00:00,2024-02-12 00:00:00+00:00,20,25.38,True
22,2024-01-24 00:00:00+00:00,2024-02-14 00:00:00+00:00,21,29.32,True
23,2024-01-25 00:00:00+00:00,2024-02-12 00:00:00+00:00,18,25.1,True
24,2024-01-26 00:00:00+00:00,2024-02-20 00:00:00+00:00,25,25.03,True
25,2024-01-27 00:00:00+00:00,2024-02-26 00:00:00+00:00,30,29.45,True
26,2024-01-28 00:00:00+00:00,2024-02-26 00:00:00+00:00,29,29.71,True
27,2024-01-30 00:00:00+00:00,2024-02-26 00:00:00+00:00,27,26.94,True
28,2024-01-31 00:00:00+00:00,2024-02-26 00:00:00+00:00,26,28.04,True
29,2024-02-01 00:00:00+00:00,2024-02-26 00:00:00+00:00,25,26.57,True
30,2024-02-02 00:00:00+00:00,2024-02-26 00:00:00+00:00,24,26.25,True
31,2024-02-03 00:00:00+00:00,2024-02-26 00:00:00+00:00,23,26.82,True
32,2024-02-04 00:00:00+00:00,2024-02-26 00:00:00+00:00,22,28.04,True
33,2024-02-05 00:00:00+00:00,2024-02-26 00:00:00+00:00,21,27.81,True
34,2024-02-06 00:00:00+00:00,2024-02-26 00:00:00+00:00,20,26.55,True
35,2024-03-16 00:00:00+00:00,2024-08-05 00:00:00+00:00,142,-17.34,False
36,2024-03-19 00:00:00+00:00,2024-08-05 00:00:00+00:00,139,-12.79,False
37,2024-03-21 00:00:00+00:00,2024-08-05 00:00:00+00:00,137,-17.56,False
38,2024-03-22 00:00:00+00:00,2024-07-07 00:00:00+00:00,107,-12.43,False
39,2024-03-23 00:00:00+00:00,2024-07-07 00:00:00+00:00,106,-12.82,False
40,2024-04-02 00:00:00+00:00,2024-04-17 00:00:00+00:00,15,-6.37,False
41,2024-04-03 00:00:00+00:00,2024-04-17 00:00:00+00:00,14,-7.13,False
42,2024-04-04 00:00:00+00:00,2024-04-17 00:00:00+00:00,13,-10.56,False
43,2024-04-05 00:00:00+00:00,2024-04-17 00:00:00+00:00,12,-9.67,False
44,2024-04-06 00:00:00+00:00,2024-04-17 00:00:00+00:00,11,-11.06,False
45,2024-04-07 00:00:00+00:00,2024-04-17 00:00:00+00:00,10,-11.66,False
46,2024-04-09 00:00:00+00:00,2024-04-17 00:00:00+00:00,8,-11.37,False
47,2024-04-11 00:00:00+00:00,2024-04-17 00:00:00+00:00,6,-12.54,False
48,2024-04-12 00:00:00+00:00,2024-04-17 00:00:00+00:00,5,-8.81,False
49,2024-04-13 00:00:00+00:00,2024-04-30 00:00:00+00:00,17,-4.99,False
50,2024-04-14 00:00:00+00:00,2024-04-30 00:00:00+00:00,16,-7.76,False
51,2024-04-15 00:00:00+00:00,2024-05-01 00:00:00+00:00,16,-8.15,False
52,2024-04-16 00:00:00+00:00,2024-05-01 00:00:00+00:00,15,-8.71,False
53,2024-04-17 00:00:00+00:00,2024-05-01 00:00:00+00:00,14,-4.93,False
54,2024-04-18 00:00:00+00:00,2024-05-01 00:00:00+00:00,13,-8.28,False
55,2024-04-19 00:00:00+00:00,2024-05-01 00:00:00+00:00,12,-8.76,False
56,2024-04-20 00:00:00+00:00,2024-05-01 00:00:00+00:00,11,-10.37,False
57,2024-04-21 00:00:00+00:00,2024-05-01 00:00:00+00:00,10,-10.28,False
58,2024-04-22 00:00:00+00:00,2024-05-01 00:00:00+00:00,9,-12.84,False
59,2024-04-23 00:00:00+00:00,2024-04-30 00:00:00+00:00,7,-8.69,False
60,2024-04-24 00:00:00+00:00,2024-05-01 00:00:00+00:00,7,-9.37,False
61,2024-04-25 00:00:00+00:00,2024-05-01 00:00:00+00:00,6,-9.66,False
62,2024-04-26 00:00:00+00:00,2024-04-30 00:00:00+00:00,4,-4.89,False
63,2024-04-27 00:00:00+00:00,2024-05-01 00:00:00+00:00,4,-8.14,False
64,2024-04-28 00:00:00+00:00,2024-05-01 00:00:00+00:00,3,-7.7,False
65,2024-04-29 00:00:00+00:00,2024-05-01 00:00:00+00:00,2,-8.75,False
66,2024-04-30 00:00:00+00:00,2024-05-01 00:00:00+00:00,1,-3.93,False
67,2024-05-01 00:00:00+00:00,2024-05-02 00:00:00+00:00,1,1.49,True
68,2024-05-02 00:00:00+00:00,2024-07-04 00:00:00+00:00,63,-3.63,False
69,2024-05-03 00:00:00+00:00,2024-07-04 00:00:00+00:00,62,-9.4,False
70,2024-05-04 00:00:00+00:00,2024-07-04 00:00:00+00:00,61,-10.82,False
71,2024-05-05 00:00:00+00:00,2024-07-04 00:00:00+00:00,60,-11.02,False
72,2024-05-06 00:00:00+00:00,2024-07-04 00:00:00+00:00,59,-9.79,False
73,2024-05-07 00:00:00+00:00,2024-07-04 00:00:00+00:00,58,-8.59,False
74,2024-05-08 00:00:00+00:00,2024-07-04 00:00:00+00:00,57,-6.88,False
75,2024-05-09 00:00:00+00:00,2024-07-04 00:00:00+00:00,56,-9.63,False
76,2024-05-10 00:00:00+00:00,2024-07-04 00:00:00+00:00,55,-6.28,False
77,2024-05-11 00:00:00+00:00,2024-07-04 00:00:00+00:00,54,-6.28,False
78,2024-05-12 00:00:00+00:00,2024-07-04 00:00:00+00:00,53,-7.28,False
79,2024-05-13 00:00:00+00:00,2024-07-04 00:00:00+00:00,52,-9.42,False
