Trade No,Entry Date,Exit Date,Duration (Days),Profit %,Win
1,2023-11-20 00:00:00+00:00,2023-12-08 00:00:00+00:00,18,30.29,True
2,2023-11-21 00:00:00+00:00,2023-12-04 00:00:00+00:00,13,27.48,True
3,2023-11-22 00:00:00+00:00,2023-12-06 00:00:00+00:00,14,25.18,True
4,2023-11-23 00:00:00+00:00,2023-12-07 00:00:00+00:00,14,25.88,True
5,2023-11-24 00:00:00+00:00,2023-12-08 00:00:00+00:00,14,29.73,True
6,2023-11-25 00:00:00+00:00,2023-12-08 00:00:00+00:00,13,28.52,True
7,2023-11-26 00:00:00+00:00,2023-12-08 00:00:00+00:00,12,28.93,True
8,2023-11-27 00:00:00+00:00,2023-12-08 00:00:00+00:00,11,28.79,True
9,2023-12-17 00:00:00+00:00,2024-02-28 00:00:00+00:00,73,25.23,True
10,2023-12-18 00:00:00+00:00,2024-02-28 00:00:00+00:00,72,26.67,True
11,2023-12-19 00:00:00+00:00,2024-02-28 00:00:00+00:00,71,29.11,True
12,2023-12-20 00:00:00+00:00,2024-02-28 00:00:00+00:00,70,27.53,True
13,2023-12-23 00:00:00+00:00,2024-01-07 00:00:00+00:00,15,-16.39,False
14,2023-12-24 00:00:00+00:00,2024-01-06 00:00:00+00:00,13,-12.22,False
15,2023-12-25 00:00:00+00:00,2024-01-06 00:00:00+00:00,12,-14.59,False
16,2023-12-26 00:00:00+00:00,2024-01-03 00:00:00+00:00,8,-10.2,False
17,2023-12-27 00:00:00+00:00,2024-01-03 00:00:00+00:00,7,-12.33,False
18,2023-12-28 00:00:00+00:00,2024-01-03 00:00:00+00:00,6,-10.71,False
19,2023-12-29 00:00:00+00:00,2024-01-03 00:00:00+00:00,5,-9.88,False
20,2023-12-30 00:00:00+00:00,2024-01-03 00:00:00+00:00,4,-8.99,False
21,2023-12-31 00:00:00+00:00,2024-01-03 00:00:00+00:00,3,-8.3,False
22,2024-01-01 00:00:00+00:00,2024-01-03 00:00:00+00:00,2,-10.85,False
23,2024-01-02 00:00:00+00:00,2024-01-03 00:00:00+00:00,1,-10.05,False
24,2024-01-03 00:00:00+00:00,2024-01-04 00:00:00+00:00,1,2.55,True
25,2024-01-04 00:00:00+00:00,2024-01-05 00:00:00+00:00,1,-1.61,False
26,2024-01-05 00:00:00+00:00,2024-01-06 00:00:00+00:00,1,-2.55,False
27,2024-01-06 00:00:00+00:00,2024-01-07 00:00:00+00:00,1,-3.02,False
