Trade No,Entry Date,Exit Date,Duration (Days),Profit %,Win
2,2023-12-05 00:00:00+00:00,2023-12-06 00:00:00+00:00,1,2.71,True
3,2023-12-07 00:00:00+00:00,2023-12-08 00:00:00+00:00,1,-0.05,False
4,2023-12-08 00:00:00+00:00,2023-12-09 00:00:00+00:00,1,0.74,True
5,2023-12-09 00:00:00+00:00,2023-12-10 00:00:00+00:00,1,-0.48,False
6,2023-12-10 00:00:00+00:00,2023-12-14 00:00:00+00:00,4,1.53,True
7,2024-01-11 00:00:00+00:00,2024-01-12 00:00:00+00:00,1,3.63,True
8,2024-02-12 00:00:00+00:00,2024-02-13 00:00:00+00:00,1,0.6,True
9,2024-02-13 00:00:00+00:00,2024-02-14 00:00:00+00:00,1,-5.14,False
10,2024-02-14 00:00:00+00:00,2024-02-15 00:00:00+00:00,1,-1.67,False
11,2024-02-15 00:00:00+00:00,2024-02-16 00:00:00+00:00,1,0.73,True
12,2024-02-16 00:00:00+00:00,2024-02-17 00:00:00+00:00,1,0.61,True
13,2024-02-17 00:00:00+00:00,2024-02-18 00:00:00+00:00,1,-3.31,False
14,2024-02-18 00:00:00+00:00,2024-02-19 00:00:00+00:00,1,-2.24,False
15,2024-02-19 00:00:00+00:00,2024-02-20 00:00:00+00:00,1,-2.38,False
16,2024-02-20 00:00:00+00:00,2024-02-21 00:00:00+00:00,1,1.43,True
17,2024-02-21 00:00:00+00:00,2024-02-22 00:00:00+00:00,1,-0.02,False
18,2024-02-22 00:00:00+00:00,2024-02-23 00:00:00+00:00,1,1.66,True
19,2024-02-23 00:00:00+00:00,2024-02-24 00:00:00+00:00,1,-2.42,False
20,2024-02-24 00:00:00+00:00,2024-02-25 00:00:00+00:00,1,-4.02,False
21,2024-02-25 00:00:00+00:00,2024-02-26 00:00:00+00:00,1,-2.13,False
22,2024-02-26 00:00:00+00:00,2024-02-27 00:00:00+00:00,1,-2.06,False
23,2024-02-27 00:00:00+00:00,2024-02-28 00:00:00+00:00,1,-4.35,False
24,2024-02-28 00:00:00+00:00,2024-02-29 00:00:00+00:00,1,1.29,True
25,2024-02-29 00:00:00+00:00,2024-03-01 00:00:00+00:00,1,-2.79,False
26,2024-03-01 00:00:00+00:00,2024-03-02 00:00:00+00:00,1,0.38,True
27,2024-03-02 00:00:00+00:00,2024-03-03 00:00:00+00:00,1,-2.01,False
28,2024-03-03 00:00:00+00:00,2024-03-04 00:00:00+00:00,1,-3.99,False
29,2024-03-04 00:00:00+00:00,2024-03-05 00:00:00+00:00,1,2.08,True
30,2024-03-05 00:00:00+00:00,2024-03-06 00:00:00+00:00,1,-7.43,False
31,2024-03-06 00:00:00+00:00,2024-03-07 00:00:00+00:00,1,-1.44,False
32,2024-03-07 00:00:00+00:00,2024-03-08 00:00:00+00:00,1,-0.46,False
33,2024-03-08 00:00:00+00:00,2024-03-09 00:00:00+00:00,1,-0.6,False
34,2024-03-09 00:00:00+00:00,2024-03-10 00:00:00+00:00,1,0.87,True
35,2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,1,-4.77,False
36,2024-03-11 00:00:00+00:00,2024-03-12 00:00:00+00:00,1,2.12,True
37,2024-03-12 00:00:00+00:00,2024-03-13 00:00:00+00:00,1,-0.66,False
38,2024-03-13 00:00:00+00:00,2024-03-14 00:00:00+00:00,1,3.08,True
39,2024-05-20 00:00:00+00:00,2024-05-21 00:00:00+00:00,1,-3.42,False
40,2024-05-21 00:00:00+00:00,2024-05-22 00:00:00+00:00,1,1.37,True
41,2024-05-23 00:00:00+00:00,2024-05-24 00:00:00+00:00,1,1.32,True
42,2024-05-26 00:00:00+00:00,2024-05-27 00:00:00+00:00,1,-1.73,False
43,2024-05-27 00:00:00+00:00,2024-05-28 00:00:00+00:00,1,1.33,True
