Trade No,Entry Date,Exit Date,Duration (Days),Profit %,Win
1,2023-12-11 00:00:00+00:00,2023-12-12 00:00:00+00:00,1,-6.8,False
2,2023-12-12 00:00:00+00:00,2023-12-13 00:00:00+00:00,1,-14.2,False
3,2023-12-13 00:00:00+00:00,2023-12-14 00:00:00+00:00,1,-3.72,False
4,2023-12-14 00:00:00+00:00,2023-12-15 00:00:00+00:00,1,1.89,True
5,2023-12-15 00:00:00+00:00,2023-12-16 00:00:00+00:00,1,1.0,True
6,2023-12-16 00:00:00+00:00,2023-12-17 00:00:00+00:00,1,-4.11,False
7,2023-12-17 00:00:00+00:00,2023-12-18 00:00:00+00:00,1,-20.15,False
8,2023-12-18 00:00:00+00:00,2023-12-19 00:00:00+00:00,1,0.94,True
9,2023-12-19 00:00:00+00:00,2023-12-20 00:00:00+00:00,1,-16.13,False
10,2023-12-20 00:00:00+00:00,2023-12-21 00:00:00+00:00,1,4.81,True
11,2023-12-21 00:00:00+00:00,2023-12-22 00:00:00+00:00,1,4.52,True
12,2023-12-22 00:00:00+00:00,2023-12-23 00:00:00+00:00,1,-9.3,False
13,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00,1,3.8,True
14,2023-12-24 00:00:00+00:00,2023-12-25 00:00:00+00:00,1,-6.64,False
15,2023-12-25 00:00:00+00:00,2023-12-26 00:00:00+00:00,1,10.21,True
