Trade No,Entry Date,Exit Date,Duration (Days),Profit %,Win
1,2024-03-03 00:00:00+00:00,2024-03-07 00:00:00+00:00,4,-17.72,False
2,2024-03-07 00:00:00+00:00,2024-03-08 00:00:00+00:00,1,3.24,True
3,2024-03-08 00:00:00+00:00,2024-03-09 00:00:00+00:00,1,-2.97,False
4,2024-03-09 00:00:00+00:00,2024-03-10 00:00:00+00:00,1,-5.38,False
5,2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,1,2.32,True
6,2024-03-11 00:00:00+00:00,2024-03-12 00:00:00+00:00,1,-7.33,False
7,2024-03-12 00:00:00+00:00,2024-03-13 00:00:00+00:00,1,-12.0,False
8,2024-03-13 00:00:00+00:00,2024-03-14 00:00:00+00:00,1,-2.52,False
9,2024-03-14 00:00:00+00:00,2024-03-15 00:00:00+00:00,1,-27.45,False
10,2024-03-15 00:00:00+00:00,2024-03-16 00:00:00+00:00,1,-9.37,False
11,2024-03-16 00:00:00+00:00,2024-03-17 00:00:00+00:00,1,-3.37,False
12,2024-03-17 00:00:00+00:00,2024-03-18 00:00:00+00:00,1,-0.8,False
13,2024-03-18 00:00:00+00:00,2024-03-19 00:00:00+00:00,1,17.21,True
14,2024-03-20 00:00:00+00:00,2024-03-21 00:00:00+00:00,1,8.59,True
15,2024-03-30 00:00:00+00:00,2024-03-31 00:00:00+00:00,1,-16.43,False
16,2024-03-31 00:00:00+00:00,2024-04-01 00:00:00+00:00,1,4.36,True
17,2024-04-01 00:00:00+00:00,2024-04-02 00:00:00+00:00,1,6.18,True
18,2024-10-23 00:00:00+00:00,2024-10-24 00:00:00+00:00,1,-2.27,False
19,2024-10-24 00:00:00+00:00,2024-10-27 00:00:00+00:00,3,5.58,True
