Trade No,Entry Date,Exit Date,Duration (Days),Profit %,Win
1,2024-01-04 00:00:00+00:00,2024-01-06 00:00:00+00:00,2,26.39,True
2,2024-01-05 00:00:00+00:00,2024-01-06 00:00:00+00:00,1,36.67,True
3,2024-01-06 00:00:00+00:00,2024-01-10 00:00:00+00:00,4,42.94,True
4,2024-01-07 00:00:00+00:00,2024-01-08 00:00:00+00:00,1,51.04,True
5,2024-01-08 00:00:00+00:00,2024-01-11 00:00:00+00:00,3,58.61,True
6,2024-01-09 00:00:00+00:00,2024-01-10 00:00:00+00:00,1,41.01,True
7,2024-01-10 00:00:00+00:00,2024-01-11 00:00:00+00:00,1,31.8,True
8,2024-01-11 00:00:00+00:00,2024-01-14 00:00:00+00:00,3,32.44,True
9,2024-01-12 00:00:00+00:00,2024-01-13 00:00:00+00:00,1,32.13,True
10,2024-01-13 00:00:00+00:00,2024-01-14 00:00:00+00:00,1,30.29,True
11,2024-01-21 00:00:00+00:00,2024-03-01 00:00:00+00:00,40,73.99,True
12,2024-01-22 00:00:00+00:00,2024-01-23 00:00:00+00:00,1,42.02,True
13,2024-01-23 00:00:00+00:00,2024-03-01 00:00:00+00:00,38,60.12,True
14,2024-01-24 00:00:00+00:00,2024-03-01 00:00:00+00:00,37,81.11,True
15,2024-01-25 00:00:00+00:00,2024-03-01 00:00:00+00:00,36,81.86,True
16,2024-01-26 00:00:00+00:00,2024-02-29 00:00:00+00:00,34,25.1,True
17,2024-01-27 00:00:00+00:00,2024-02-18 00:00:00+00:00,22,34.46,True
18,2024-01-28 00:00:00+00:00,2024-02-18 00:00:00+00:00,21,28.8,True
19,2024-01-29 00:00:00+00:00,2024-02-18 00:00:00+00:00,20,35.04,True
20,2024-01-30 00:00:00+00:00,2024-02-29 00:00:00+00:00,30,25.65,True
21,2024-01-31 00:00:00+00:00,2024-02-15 00:00:00+00:00,15,35.05,True
22,2024-02-01 00:00:00+00:00,2024-02-05 00:00:00+00:00,4,35.2,True
23,2024-02-02 00:00:00+00:00,2024-02-05 00:00:00+00:00,3,52.32,True
24,2024-02-03 00:00:00+00:00,2024-02-05 00:00:00+00:00,2,37.27,True
25,2024-02-04 00:00:00+00:00,2024-02-05 00:00:00+00:00,1,34.69,True
26,2024-02-05 00:00:00+00:00,2024-02-15 00:00:00+00:00,10,26.9,True
27,2024-02-06 00:00:00+00:00,2024-02-18 00:00:00+00:00,12,31.65,True
