Trade No,Entry Date,Exit Date,Duration (Days),Profit %,Win
1,2023-11-21 00:00:00+00:00,2023-12-07 00:00:00+00:00,16,30.46,True
2,2023-11-27 00:00:00+00:00,2023-12-08 00:00:00+00:00,11,36.21,True
3,2024-01-06 00:00:00+00:00,2024-02-28 00:00:00+00:00,53,25.78,True
4,2024-01-07 00:00:00+00:00,2024-02-12 00:00:00+00:00,36,25.45,True
5,2024-01-08 00:00:00+00:00,2024-02-29 00:00:00+00:00,52,28.55,True
6,2024-01-09 00:00:00+00:00,2024-02-29 00:00:00+00:00,51,26.46,True
7,2024-01-11 00:00:00+00:00,2024-02-29 00:00:00+00:00,49,25.83,True
8,2024-01-12 00:00:00+00:00,2024-02-14 00:00:00+00:00,33,27.54,True
9,2024-01-13 00:00:00+00:00,2024-02-29 00:00:00+00:00,47,31.32,True
10,2024-01-14 00:00:00+00:00,2024-02-28 00:00:00+00:00,45,25.41,True
11,2024-01-15 00:00:00+00:00,2024-02-29 00:00:00+00:00,45,33.04,True
12,2024-01-16 00:00:00+00:00,2024-02-29 00:00:00+00:00,44,28.77,True
13,2024-01-18 00:00:00+00:00,2024-02-28 00:00:00+00:00,41,25.25,True
14,2024-01-19 00:00:00+00:00,2024-01-22 00:00:00+00:00,3,-10.45,False
15,2024-01-20 00:00:00+00:00,2024-01-22 00:00:00+00:00,2,-9.67,False
16,2024-01-21 00:00:00+00:00,2024-01-22 00:00:00+00:00,1,-7.95,False
17,2024-01-22 00:00:00+00:00,2024-02-09 00:00:00+00:00,18,27.88,True
18,2024-01-23 00:00:00+00:00,2024-02-09 00:00:00+00:00,17,26.89,True
19,2024-01-24 00:00:00+00:00,2024-02-12 00:00:00+00:00,19,26.21,True
20,2024-01-25 00:00:00+00:00,2024-02-10 00:00:00+00:00,16,25.6,True
21,2024-01-26 00:00:00+00:00,2024-02-14 00:00:00+00:00,19,26.54,True
22,2024-01-27 00:00:00+00:00,2024-02-28 00:00:00+00:00,32,25.37,True
23,2024-01-28 00:00:00+00:00,2024-02-29 00:00:00+00:00,32,31.03,True
24,2024-01-31 00:00:00+00:00,2024-02-29 00:00:00+00:00,29,29.56,True
25,2024-02-01 00:00:00+00:00,2024-02-29 00:00:00+00:00,28,28.48,True
26,2024-02-03 00:00:00+00:00,2024-02-29 00:00:00+00:00,26,28.43,True
27,2024-02-04 00:00:00+00:00,2024-02-29 00:00:00+00:00,25,31.67,True
28,2024-02-05 00:00:00+00:00,2024-02-29 00:00:00+00:00,24,31.57,True
29,2024-02-06 00:00:00+00:00,2024-02-29 00:00:00+00:00,23,29.79,True
30,2024-02-21 00:00:00+00:00,2024-03-04 00:00:00+00:00,12,26.7,True
31,2024-02-22 00:00:00+00:00,2024-03-01 00:00:00+00:00,8,27.86,True
32,2024-02-23 00:00:00+00:00,2024-02-29 00:00:00+00:00,6,25.77,True
33,2024-02-24 00:00:00+00:00,2024-03-03 00:00:00+00:00,8,25.27,True
34,2024-02-25 00:00:00+00:00,2024-03-01 00:00:00+00:00,5,25.65,True
35,2024-02-27 00:00:00+00:00,2024-03-07 00:00:00+00:00,9,32.84,True
36,2024-04-02 00:00:00+00:00,2024-04-13 00:00:00+00:00,11,-23.09,False
37,2024-04-04 00:00:00+00:00,2024-04-13 00:00:00+00:00,9,-24.25,False
38,2024-04-05 00:00:00+00:00,2024-04-13 00:00:00+00:00,8,-20.15,False
39,2024-04-06 00:00:00+00:00,2024-04-13 00:00:00+00:00,7,-22.12,False
40,2024-04-07 00:00:00+00:00,2024-04-12 00:00:00+00:00,5,-14.48,False
41,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,4,-15.02,False
42,2024-04-09 00:00:00+00:00,2024-04-12 00:00:00+00:00,3,-10.89,False
43,2024-04-10 00:00:00+00:00,2024-04-12 00:00:00+00:00,2,-11.42,False
44,2024-04-11 00:00:00+00:00,2024-04-12 00:00:00+00:00,1,-10.98,False
45,2024-04-12 00:00:00+00:00,2024-04-13 00:00:00+00:00,1,-9.3,False
46,2024-04-13 00:00:00+00:00,2024-04-14 00:00:00+00:00,1,8.57,True
47,2024-04-14 00:00:00+00:00,2024-04-15 00:00:00+00:00,1,-8.45,False
48,2024-04-15 00:00:00+00:00,2024-04-16 00:00:00+00:00,1,-1.61,False
49,2024-04-16 00:00:00+00:00,2024-04-17 00:00:00+00:00,1,-3.24,False
50,2024-04-17 00:00:00+00:00,2024-04-18 00:00:00+00:00,1,7.75,True
51,2024-04-18 00:00:00+00:00,2024-04-19 00:00:00+00:00,1,0.42,True
52,2024-04-19 00:00:00+00:00,2024-04-26 00:00:00+00:00,7,-2.51,False
53,2024-04-20 00:00:00+00:00,2024-04-26 00:00:00+00:00,6,-7.96,False
54,2024-04-21 00:00:00+00:00,2024-04-26 00:00:00+00:00,5,-6.4,False
55,2024-04-22 00:00:00+00:00,2024-04-26 00:00:00+00:00,4,-11.42,False
56,2024-04-23 00:00:00+00:00,2024-04-26 00:00:00+00:00,3,-10.08,False
57,2024-04-24 00:00:00+00:00,2024-04-26 00:00:00+00:00,2,-5.85,False
58,2024-04-25 00:00:00+00:00,2024-04-26 00:00:00+00:00,1,-3.99,False
59,2024-04-26 00:00:00+00:00,2024-04-28 00:00:00+00:00,2,-0.9,False
60,2024-04-27 00:00:00+00:00,2024-04-30 00:00:00+00:00,3,-10.14,False
61,2024-04-28 00:00:00+00:00,2024-04-30 00:00:00+00:00,2,-7.9,False
62,2024-04-29 00:00:00+00:00,2024-04-30 00:00:00+00:00,1,-7.85,False
63,2024-04-30 00:00:00+00:00,2024-05-16 00:00:00+00:00,16,25.33,True
64,2024-05-01 00:00:00+00:00,2024-05-17 00:00:00+00:00,16,25.93,True
65,2024-05-02 00:00:00+00:00,2024-05-18 00:00:00+00:00,16,25.2,True
66,2024-05-03 00:00:00+00:00,2024-05-20 00:00:00+00:00,17,29.73,True
67,2024-05-04 00:00:00+00:00,2024-05-20 00:00:00+00:00,16,27.64,True
68,2024-05-05 00:00:00+00:00,2024-05-20 00:00:00+00:00,15,28.01,True
69,2024-05-06 00:00:00+00:00,2024-09-06 00:00:00+00:00,123,-18.2,False
70,2024-05-07 00:00:00+00:00,2024-05-20 00:00:00+00:00,13,25.91,True
71,2024-05-08 00:00:00+00:00,2024-05-20 00:00:00+00:00,12,31.08,True
73,2024-05-10 00:00:00+00:00,2024-05-20 00:00:00+00:00,10,27.56,True
74,2024-05-11 00:00:00+00:00,2024-05-20 00:00:00+00:00,9,28.36,True
75,2024-05-12 00:00:00+00:00,2024-05-20 00:00:00+00:00,8,29.96,True
76,2024-05-13 00:00:00+00:00,2024-05-20 00:00:00+00:00,7,26.64,True
77,2024-05-14 00:00:00+00:00,2024-05-20 00:00:00+00:00,6,31.32,True
78,2024-05-24 00:00:00+00:00,2024-06-23 00:00:00+00:00,30,-23.37,False
79,2024-05-26 00:00:00+00:00,2024-06-23 00:00:00+00:00,28,-21.28,False
80,2024-05-28 00:00:00+00:00,2024-06-19 00:00:00+00:00,22,-19.59,False
81,2024-05-29 00:00:00+00:00,2024-06-19 00:00:00+00:00,21,-19.31,False
82,2024-05-30 00:00:00+00:00,2024-06-18 00:00:00+00:00,19,-17.65,False
83,2024-05-31 00:00:00+00:00,2024-06-18 00:00:00+00:00,18,-16.99,False
84,2024-06-01 00:00:00+00:00,2024-06-18 00:00:00+00:00,17,-17.18,False
85,2024-06-02 00:00:00+00:00,2024-06-14 00:00:00+00:00,12,-12.35,False
86,2024-06-03 00:00:00+00:00,2024-06-14 00:00:00+00:00,11,-13.24,False
87,2024-06-06 00:00:00+00:00,2024-06-13 00:00:00+00:00,7,-13.35,False
88,2024-06-07 00:00:00+00:00,2024-06-13 00:00:00+00:00,6,-9.35,False
89,2024-06-08 00:00:00+00:00,2024-06-13 00:00:00+00:00,5,-6.74,False
90,2024-06-09 00:00:00+00:00,2024-06-13 00:00:00+00:00,4,-9.11,False
91,2024-06-10 00:00:00+00:00,2024-06-11 00:00:00+00:00,1,-5.98,False
92,2024-06-11 00:00:00+00:00,2024-06-13 00:00:00+00:00,2,-1.42,False
93,2024-06-12 00:00:00+00:00,2024-06-13 00:00:00+00:00,1,-5.07,False
94,2024-06-13 00:00:00+00:00,2024-06-14 00:00:00+00:00,1,-2.86,False
95,2024-06-14 00:00:00+00:00,2024-06-15 00:00:00+00:00,1,1.62,True
96,2024-06-15 00:00:00+00:00,2024-06-17 00:00:00+00:00,2,-1.43,False
97,2024-06-16 00:00:00+00:00,2024-06-17 00:00:00+00:00,1,-5.16,False
98,2024-06-17 00:00:00+00:00,2024-06-18 00:00:00+00:00,1,-4.07,False
99,2024-06-18 00:00:00+00:00,2024-06-19 00:00:00+00:00,1,-1.38,False
100,2024-06-19 00:00:00+00:00,2024-06-20 00:00:00+00:00,1,-1.58,False
101,2024-06-20 00:00:00+00:00,2024-06-21 00:00:00+00:00,1,0.84,True
102,2024-06-21 00:00:00+00:00,2024-06-22 00:00:00+00:00,1,-0.68,False
103,2024-06-22 00:00:00+00:00,2024-06-23 00:00:00+00:00,1,-3.8,False
104,2024-06-23 00:00:00+00:00,2024-06-24 00:00:00+00:00,1,2.84,True
